bill_id,title,created_at,updated_at,subjects
HB 732,Clarify DOT Toll Enfrcmnt/Collectn./Contract.,2013-04-13,2014-03-05,Commerce|Transportation|Public Services|Trade|Labor and Employment|Other|Business and Consumers
HB 733,Common Core Standards Study.,2013-04-13,2014-03-05,State Agencies|Education|Other|Public Services|Legislative Affairs
HB 734,Interstate Agreements to Improve Voter Rolls.,2013-04-13,2014-03-05,"Campaign Finance and Election Issues|State Agencies|Public Services|Federal, State, and Local Relations|Technology and Communication"
HB 735,Student Organizations/Rights & Recognition.,2013-04-13,2014-03-05,Public Services|Education|Social Issues
HB 736,Promote More Diversity on the UNC BOG.,2013-04-13,2014-03-05,State Agencies|Education|Other|Public Services|Legislative Affairs
HB 737,Protect and Support the Unemployed.,2013-04-13,2014-03-05,"Commerce|Public Services|Civil Liberties and Civil Rights|Labor and Employment|Budget, Spending, and Taxes|Business and Consumers"
HB 738,Amend DWLR Law.,2013-04-13,2014-03-05,Public Services|Transportation|Legal Issues|Crime
HB 739,Civil Procedure/Require Certificate of Merit.,2013-04-13,2014-03-05,Labor and Employment|Public Services|Other|Legal Issues|Judiciary
HB 74,Regulatory Reform Act of 2013.,2013-02-06,2014-03-05,Commerce|Energy|Municipal and County Issues|Legislative Affairs|Labor and Employment|Public Services|Crime|Family and Children Issues|Environmental|Other|Health|Housing and Property|State Agencies|Education|Business and Consumers|Insurance|Legal Issues
HB 740,Right to Choose Athletic/Sports Trainer.,2013-04-13,2014-03-05,Recreation|Public Services|Health|Insurance
HB 741,Amend Civil No-Contact Laws/Stalking.,2013-04-13,2014-03-05,Social Issues|Legal Issues|Family and Children Issues|Public Services|Judiciary|Sexual Orientation and Gender Issues|Crime
HB 742,NC CARE in Radiologic Imaging.,2013-04-13,2014-03-05,Legal Issues|Public Services|Executive Branch|Labor and Employment|Other|Health|State Agencies|Education|Science and Medical Research
HB 743,UI Laws Administrative Changes.,2013-04-13,2014-03-05,"Legislative Affairs|Public Services|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Insurance"
HB 744,Study UNC Allocation of R&R Funds.,2013-04-13,2014-03-05,"Legislative Affairs|Public Services|Other|Budget, Spending, and Taxes|State Agencies|Education"
HB 745,Charter Schools/Transport/Food Services.,2013-04-13,2014-03-05,Agriculture and Food|Public Services|Education|Transportation
HB 746,Fleet Ins./No Denials for Old Convictions.,2013-04-13,2014-03-05,State Agencies|Public Services|Transportation|Insurance|Crime
HB 747,Principals Monitor Student Costs.,2013-04-13,2014-03-05,Public Services|Education|Recreation
HB 748,DOT/Oversight Standards for Greenways.,2013-04-13,2014-03-05,Housing and Property|Public Services|Transportation|Legislative Affairs
HB 749,Local School Flexibility.,2013-04-13,2014-03-05,State Agencies|Education|Municipal and County Issues|Legislative Affairs|Public Services
HB 75,Kilah's Law/Increase Child Abuse Penalties.,2013-02-07,2014-03-05,Legislative Affairs|Family and Children Issues|Public Services|Judiciary|Crime|State Agencies
HB 750,Charter School Flexibility/Pilot.,2013-04-13,2014-03-05,Municipal and County Issues|Legislative Affairs|Public Services|Other|State Agencies|Education
HB 751,NC Religious Freedom Restoration Act.,2013-04-13,2014-03-05,Public Services|Social Issues|Legislative Affairs
HB 752,Independent Candidates.,2013-04-13,2014-03-05,Campaign Finance and Election Issues|State Agencies|Public Services
HB 753,Communities in Schools Funds.,2013-04-13,2014-12-03,"Legislative Affairs|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers"
